Name	Description	Occupation skill points	Min Credit	Max Credit	Skills	Type
Farmer	"An agricultural worker who might own the land on which
they raise crops or livestock, or who is employed to do the
same. Rigorous and demanding, the life of the farmer is suited
to those who enjoy manual labor and outdoor activities.
The 1920s are the first decade where the urban population
of the U.S. outnumbers the rural population.
Independent farmers find themselves squeezed between
competition from corporate-controlled farms and fluctuating
commodity markets—a situation still common in
contemporary times."	EDU × 2 + (DEX × 2 or STR × 2)	9	30	"Art/Craft (Farming), Drive Auto (or Wagon), one
interpersonal skill (Charm, Fast Talk, Intimidate, or
Persuade), Mechanical Repair, Natural World, Operate
Heavy Machinery, Track, any one other skill as
a personal or era specialty."	Standard
Federal Agent	"There are a vast variety of federal law enforcement agencies
and agents. Some are uniformed, such as the U.S. Marshals,
while others, like the Federal Bureau of Investigation, are
plainclothes and operate similar to detectives."	EDU × 4	20	40	"Drive Auto, Fighting (Brawl), Firearms, Law, Persuade,
Stealth, Spot Hidden, any one other skill as a
personal or era specialty."	Standard
Firefighter	"Firefighters are civil servants, employed by the communities
they serve. They work around the clock, on shifts lasting
several days, eating, sleeping, and entertaining themselves
within the confines of the fire station. Organized along
military lines, promotion through lieutenant, captain, and
chief is possible."	EDU × 2 + (DEX × 2 or STR × 2)	9	30	"Climb, Dodge, Drive Auto, First Aid, Jump, Mechanical
Repair, Operate Heavy Machinery, Throw."	Standard
Foreign Correspondent	"Foreign correspondents are the elite of news reporters.
They work on salary, enjoy expense accounts, and travel the
globe. In the 1920s, the correspondent may work for a large
newspaper, a radio network, or a national newsgroup. Modern-
day reporters might also work freelance or be employed
to file reports for a television network, an Internet news
provider, or international news agency.
The work can be very varied, often exciting, and sometimes
hazardous as natural disasters, political upheaval, and
war are the primary focus of the foreign correspondent."	EDU × 4	10	40	"History, Other Language, Own Language, Listen,
two interpersonal skills (Charm, Fast Talk, Intimidate,
or Persuade), Psychology, any one other skill as
a personal or era specialty."	Standard
Forensic Surgeon	"A highly specialized occupation, most forensic surgeons are
employed by a city, county or state to conduct autopsies,
determine causes of death, and make recommendations to
the prosecutor’s office. Forensic surgeons are often called to
give testimony at criminal proceedings."	EDU × 4	40	60	"Other Language (Latin), Library Use, Medicine,
Persuade, Science (Biology), (Forensics), (Pharmacy),
Spot Hidden."	Standard
Gambler	"Gamblers are the dandies of the criminal world. Sharp
dressers, they usually possess bags of charm, either earthy or
sophisticated. Whether frequenting the racetrack, card table,
or casino, such individuals often base their life upon chance.
More sophisticated gamblers probably frequent the illegal
casinos operated by organized crime. A few are known as
81
chapter 4: occupations
poker players and are often involved in lengthy, high-stakes
games where they may even be backed by outside investors.
The lowest frequent alleys and dives, playing craps with
loaded dice, or hustling in pool halls."	EDU × 2 + (APP × 2 or DEX × 2)	8	50	"Accounting, Art/Craft (Acting), two interpersonal
skills (Charm, Fast Talk, Intimidate, or Persuade),
Listen, Psychology, Sleight of Hand, Spot Hidden."	Standard
Gangster	"A gangster could be the boss of a whole city, part of a city,
or merely an underling who works for the boss. Underlings
usually have specific areas of responsibility, such as overseeing
illicit shipments, collecting protection money, and so on.
The boss oversees the business, makes deals, and determines
how to solve problems. For the most part, the gangster boss
is untouchable, able to field a small army of underlings to do
his or her bidding, and so is unlikely to get their hands dirty.
Gangsterism rose to prominence in the 1920s. Neighborhood
ethnic gangs, who had heretofore limited their
activities to local protection schemes and small gambling
rackets, discovered the immense profits to be made in the
illegal beer and liquor industry. Before long they controlled
whole sections of cities and warred with one another in
the streets. Though most gangs are of ethnic origin—Irish,
Italian, African-American, and Jewish—gangsters of nearly
all nationalities are found within the ranks.
In modern times, the drug trade has overtaken other
forms of organized crime to be the most lucrative route for
many. Operating on very similar lines to their 1920s counterparts,
the contemporary gangster boss also needs a range
of underlings to promote, secure, and trade their business
on the streets.
Aside from illegal liquor and narcotics, organized crime
deals in prostitution, protection, gambling, and many other
forms of corruption."	EDU × 2 + APP × 2	60	95	"Fighting, Firearms, Law, Listen, two interpersonal
skills (Charm, Fast Talk, Intimidate, or Persuade),
Psychology, Spot Hidden."	Criminal
Gangster Underling		EDU × 2 + (DEX × 2 or STR × 2)	9	20	"Drive Auto, Fighting, Firearms, two interpersonal
skills (Charm, Fast Talk, Intimidate, or Persuade),
Psychology, any two other skills as personal or era
specialties."	Criminal
Gentleman/Lady	"A man or woman of good breeding, courteous behavior,
and good conduct. Usually the term is applied to a member
of the upper class who is independently wealthy (either by
inheritance or regular allowance).
In the 1920s, such a person would certainly have had at
least one servant (butler, valet, maid, chauffer) and probably
a country and city residence. One does not necessarily have
to be rich, as often family status is more important than
family wealth in terms of the highest society."	EDU × 2 + APP × 2	40	90	"Art/Craft (any), two interpersonal skills (Charm,
Fast Talk, Intimidate, or Persuade), Firearms (Rifle/
Shotgun), History, Other Language (any), Navigate,
Ride."	Standard
Hobo	"Although there are people out of work and, as always,
alcoholics lying in the gutters, the true hobo forms a
separate breed. While drifters tend to only work when
forced to, hobos are essentially workers who wander.
Riding the rails continually, on the move
from one town to another, they are penniless
poets and vagabonds—explorers of the
road, adventurers, and thieves. However,
life on the road or rails is dangerous.
Aside of the problems of being poor
and having no home, the hobo faces
hostility from the police, closeknit
communities, and railroad
staff. Jumping trains in the dark is
no easy feat and many a hobo has
lost a foot or hand from getting
caught between train cars."	EDU × 2 + (APP × 2 or DEX × 2)	0	5	"Art/Craft (any), Climb, Jump, Listen, Locksmith
or Sleight of Hand, Navigate, Stealth, any one other
skill as a personal or era specialty."	Standard
Hospital Orderly	"The typical hospital orderly is in charge of emptying waste,
cleaning rooms, taxiing patients, and any other odd job
requiring slightly more skill than that of a janitor."	EDU × 2 + STR × 2	6	15	"Electrical Repair, one interpersonal skill (Charm,
Fast Talk, Intimidate, or Persuade), Fighting (Brawl),
First Aid, Listen, Mechanical Repair, Psychology,
Stealth."	Standard
Investigative Journalist	"
The best investigative journalists report, but keep themselves
independent of the corruption and self-serving they
witness. That reality overwhelms the worst, who eventually
forfeit any sensibility except the power of their words."	EDU × 4	9	30	"Art/Craft (Art or Photography), one interpersonal
skill (Charm, Fast Talk, Intimidate, or Persuade),
History, Library Use, Own Language, Psychology,
any two other skills as personal or era specialties."	Standard
Reporter	"Reporters work in the news and media industries,
either freelance or for a newspaper, magazine, website, or
news agency. Most work outside of the office, interviewing
witnesses, checking records, and gathering stories. Some are
assigned to specific beats like the police station, the sports
scene, or business. Others cover social events and garden
club meetings. Reporters carry press passes, but these are of little value
other than to identify an individual as employed by their
respective employer (usually a newspaper). The real work
is similar to that of a private detective, and some reporters
may resort to subterfuge to gain the information they want."	EDU × 4	9	30	"Art/Craft (Acting), History, Listen, Own Language,
one interpersonal skill (Charm, Fast Talk,
Intimidate, or Persuade), Psychology, Stealth, Spot
Hidden."	Standard
Judge	"An official who presides over court legal proceedings, either
alone or within a group of peers. Judges are either appointed
or elected, sometimes for a term of specified length, other
times for life. While some are appointed without ever having
practiced law, most judges are licensed attorneys whether
they sit on the smallest bench in a far-off Western town, or
on the bench of the Federal Supreme Court."	EDU × 4	50	80	"History, Intimidate, Law, Library Use, Listen,
Own Language, Persuade, Psychology."	Standard
Laboratory Assistant	"Working in a scientific environment, the assistant (or technician)
performs laboratory and administrative tasks under
the supervision of a lead scientist.
Tasks are varied and dependent on the scientific discipline
of the lead scientist or laboratory, but could include:
sampling, testing, recording and analyzing results, setting
up or performing experiments, preparing specimens and
samples, administering the day-to-day work of the laboratory,
and ensuring health and safety polices are adhered to."	EDU × 4	10	30	"Computer Use or Library Use, Electrical Repair,
Other Language, Science (Chemistry and two others),
Spot Hidden, any one other skill as a personal
specialty."	Standard
"Laborer, Unskilled"		EDU × 2 + (DEX × 2 or STR × 2)	9	30	"Drive Auto, Electrical Repair, Fighting, First Aid,
Mechanical Repair, Operate Heavy Machinery, Throw,
any one other skill as a personal or era specialty."	Standard
Lumberjack		EDU × 2 + (DEX × 2 or STR × 2)	9	30	"Climb, Dodge, Fighting (Chainsaw), First Aid,
Jump, Mechanical Repair, Natural World or Science
(Biology or Botany), Throw."	Standard
Miner		EDU × 2 + (DEX × 2 or STR × 2)	9	30	"Climb, Geology, Jump, Mechanical Repair, Operate
Heavy Machinery, Stealth, Spot Hidden, any one
other skill as a personal or era specialty."	Standard
Lawyer	"Learned in the law of the state in which they serve, the lawyer
acts as an attorney, counsel, or solicitor, able to relate
abstract legal theories and knowledge to present solutions
for their clients. May be hired or appointed by a court on an
individual basis or may be privately retained by a wealthy
client or business firm.
In the U.S., a lawyer tends to mean an attorney, while in
England the term loosely refers to a variety of professions
including barristers, solicitors, and legal executives.
With the right client, a lawyer could become a celebrity
in his or her own right, and a small number do enjoy the
media attention for political or financial gain."	EDU × 4	30	80	"Accounting, Law, Library use, two interpersonal
skills (Charm, Fast Talk, Intimidate, or Persuade),
Psychology, any two other skills."	Standard
Librarian	"Librarians are most often employed by public institutions
or universities, responsible for cataloguing and maintaining
stock, as well as dealing with lender enquiries. In modern
times, the librarian is also a keeper of electronic media and
databases.
Some large businesses might employ a librarian to manage
a large collection, and occasionally opportunities appear
to take over custodial care of a private library for a wealthy
collector."	EDU × 4	9	35	"Accounting, Library use, Other Language, Own
Language, any four other skills as personal specialties
or specialist reading topics."	Standard
Mechanic (and Skilled Trades)	"This occupation includes all types of trades requiring specialized
training, time on the job as an apprentice or trainee,
etc. Carpenters, stonemasons, plumbers, electricians, millwrights,
mechanics, and others all qualify as skilled trades.
Usually they have their own unions—almost guilds—that
bargain with contractors and corporate employers."	EDU × 4	9	40	"Art/Craft (Carpentry, Welding, Plumbing, etc.),
Climb, Drive Auto, Electrical Repair, Mechanical
Repair, Operate Heavy Machinery, any two other
skills as personal, era or trade specialties."	Standard
Military Officer	"Officers are command rank and most commissions demand
some form of higher education. All armed services have established
officer training programs that may include university
education—in the U.S., most major universities provide
cadet training programs, allowing simultaneous training for
the military while attending school. Upon graduation the
cadet is promoted to the rank of Army or Marine Second
Lieutenant or Naval Ensign, and assigned to a station.
Usually such recruits owe the Government four years’
active service, after which time they may return to civilian
life. Many of the officers trained this way hold professional
commissions and serve as doctors, lawyers, or engineers.
Those looking for a career in the military may try to get
themselves appointed to one of the military academies: the
U.S. Army’s West Point or the Navy’s Annapolis, for example.
Graduating from one of these schools earns the officer respect. Once out of school, some officers opt for special
training, such as air pilot.
Occasionally, an experienced and exceptionally worthy
enlisted person is promoted to Warrant Officer. Although
technically at the bottom of the officers’ list of ranks, the
time and experience required to achieve this promotion carries
a respect and reverence far exceeding that of any junior
or middle-grade officer. Most commissions are for life. Even
a long-retired officer has the right to call himself Captain or
General."	EDU × 2 + (DEX × 2 or STR × 2)	20	70	"Accounting, Firearms, Navigate, First Aid, two
interpersonal skill (Charm, Fast Talk, Intimidate,
or Persuade), Psychology, any one other skills as
personal or era specialties."	Standard
Missionary	"Missionaries visit remote corners of the globe dispensing the
word of God to “unfortunate primitives” or ""lost souls"" in
more civilized locales. May be Catholic, Protestant, Islamic,
or from another branch of faith, such as the Church of the
Latter-Day Saints, who specialize in two-year proselytizing
missions to urban areas, including parts of the U.S. and
Europe.
Sometimes a missionary may be independent of all
except his or her own vision, or may be backed by some
organization other than a church.
Christian and Islamic proselytizers, as well as Buddhist,
and Hindu teachers can be encountered worldwide in all eras."	EDU × 2 + APP × 2	0	30	"Art/Craft (any), First Aid, Mechanical Repair,
Medicine, Natural World, one interpersonal skill
(Charm, Fast Talk, Intimidate, or Persuade), any two
other skills as personal or era specialties."	Standard
Mountain Climber	"Mountain climbing as a sport became popular in the 19th
century. Most climbers are weekend and vacation sportsmen
and women; only a few have the reputations needed to attract
the financing and sponsorship required for major climbs.
By the 1920s, all the major American and Alpine peaks
have been conquered. After lengthy negotiations with the
Tibetans, climbers were finally granted access to the highest
peaks of the Himalayas. Regular assaults on Mt. Everest, the
last unconquered peak in the world, were routinely covered
by radio and newspapers. Expeditions in 1921, 1922, and
1924 all failed to reach the summit and resulted in the
deaths of thirteen people.
In the modern-day, mountaineering (or Alpinism, as
often termed by Europeans), may be sport, recreation, or
a profession. If a profession, this could include climbing
instructors, guides, athletes, or rescue services."	EDU × 2 + (DEX × 2 or STR × 2)	30	60	"Climb, First Aid, Jump, Listen, Navigate, Other
Language, Survival (Alpine or as appropriate),
Track."	Standard
Museum Curator	"A museum curator can be responsible for a large facility like
a university or other publicly funded institution, or any sort
of smaller museum, often specializing in local geology or
other such topics."	EDU × 4	10	30	"Accounting, Appraise, Archaeology, History,
Library Use, Occult, Other Language, Spot Hidden."	Standard
Musician	"May perform in an orchestra, group, or solo,
with any instrument you care to think
of. Getting noticed is hard and then
getting a recording contract is difficult.
Most musicians are poor and do not get
noticed, eking a living by playing small
venues as often as they can. A fortunate
few might get regular work, such as playing
a piano in a bar or hotel or within
a city orchestra. For the minori- t y ,
great success and wealth can
be found by being in the right
place at the right time, plus
having a modicum of talent.
The 1920s is, of course,
the Jazz Age, and musicians
work in small combos and
dance orchestras in large and
medium-sized cities and towns
across America. A few musicians living i n
large cities, like Chicago or New York, find steady work in
their hometown, but most spend significant amounts of
time on the road, touring either by bus, automobile, or by
train."	EDU × 2 + (APP × 2 or DEX × 2)	9	30	"Art/Craft (Instrument), one interpersonal skill
(Charm, Fast Talk, Intimidate, or Persuade), Listen,
Psychology, any four other skills."	Standard
Nurse	"Nurses are trained healthcare assistants, usually working
in hospitals, nursing homes, or with General Practitioners.
Generally, a nurse will assist an individual, sick or well, with
activities contributing to health or recovery (or to a peaceful
death) that a person might perform unaided if they had the
necessary strength, will, or knowledge."	EDU × 4	9	30	"First Aid, Listen, Medicine, one interpersonal
skill (Charm, Fast Talk, Intimidate, or Persuade),
Psychology, Science (Biology) and (Chemistry),
Spot Hidden."	Standard
Occultist	"Occultists are students of esoteric secrets and arcane magic.
They fully believe in paranormal abilities and actively attempt
to learn about and discover these powers within themselves.
Most are familiar with a broad range of different philosophies
and magical theories, some believing that they can actually
perform feats of magic—the veracity of such abilities is left to
the Keeper to determine.
It should be noted that, in the main, occultists are familiar
with ""earthly magic""—the secrets of Mythos magic
are unknown to them, save in tantalizing hints referenced
in ancient books."	EDU × 4	9	65	"Anthropology, History, Library Use, one interpersonal
skill (Charm, Fast Talk, Intimidate, or
Persuade), Occult, Other Language, Science (Astronomy),
any one* other skill as a personal or era
specialty.
*With the Keeper’s agreement, may include Cthulhu
Mythos (with an advised starting maximum of 10%)."	Standard
Outdoorsman/woman	"The outdoor enthusiast spends much of his or her time living
in the wilderness, often alone for long periods. Commonly
skilled in hunting and fishing, and able to be self-sufficient
in all but the harshest of environments. May be specialized
in hiking, fishing, cross-country skiing, canoeing, climbing,
and camping.
The outsdoorsman might work as a wilderness guide or
ranger for a national park or outward bound center, or they
may be financially independent, allowing them enjoy such a
lifestyle without regard for paid employment, perhaps living
as a hermit and only returning to civilization when the need
arises."	EDU × 2 + (DEX × 2 or STR × 2)	5	20	"Firearms, First Aid, Listen, Natural World, Navigate,
Spot Hidden, Survival (any), Track."	Standard
Parapsychologist	"Parapsychologists do not pretend to enjoy extraordinary
powers, but instead spend their efforts attempting to
observe, record, and study such instances. Sometimes nicknamed
“ghost hunters,” they make use of technology to try
to capture hard evidence of paranormal activity that may
be centered on a person or a location. A major portion of
their time is spent debunking fake mediums and mistaken
phenomena rather than recording actual evidence.
Some parapsychologists will specialize in the study of
particular phenomenon, such as extra sensory perception,
telekinesis, hauntings, and others.
Prestigious universities grant no degrees for parapsychology.
Standards in the field are based entirely upon personal
reputation, and so the most acceptable representatives
tend to hold degrees in related areas—physics, psychology,
or medicine.
Those who choose this path are unusually sympathetic
to the notion of invisible mystical powers and in validating
that belief to the satisfaction of physical scientists. This
would represent an unusual cohabitation of faith and
doubt—the parapsychologist may have difficulty separating
the conflicting desires. A person uninterested in observation,
experimentation, and proof is not a scientist, though
he or she may be an occultist."	EDU × 4	9	30	"Anthropology, Art/Craft (Photography), History,
Library Use, Occult, Other Language, Psychology,
any one other skill as a personal or era specialty."	Standard
Pharmacist	"Pharmacists have long been more closely regulated than
physicians. They are licensed by individual states, most of
them requiring a high school education and three years
of pharmacy school. A pharmacist may be employed in a
hospital or a drug store, or perhaps they own a dispensary."	EDU × 4	35	75	"Accounting, First Aid, Other Language (Latin),
Library Use, one interpersonal skill (Charm, Fast
Talk, Intimidate, or Persuade), Psychology, Science
(Pharmacy), (Chemistry)."	Standard
Photographer	"Photography as an art form has been around a long time,
with most photographers working freelance, for an advertising
firm, or in a portrait studio taking pictures of families.
Others are employed in the newspaper, media, and film
industries.
The elite of photographers are drawn from the worlds of
art, journalism, and wildlife conservation. In each of these
arenas a photographer may find fame, recognition, and
financial reward."	EDU × 4	9	30	"Art/Craft (Photography), one interpersonal skill
(Charm, Fast Talk, Intimidate, or Persuade), Psychology,
Science (Chemistry), Stealth, Spot Hidden,
any two other skills as personal or era specialties."	Standard
Photojournalist	"Photojournalists are essentially reporters who use cameras,
but who are also expected to write prose to accompany
an image. In the 1920s, newsreels came into being; heavy,
bulky 35mm film equipment was hauled around the globe in
search of exciting news stories, sporting events, and bathing
beauty pageants. A newsreel team usually numbers three:
one of them an actual reporter who writes the copy, while
the other two handle the camera, lights, etc. Voiceovers are
done at a home studio, based on the written copy."	EDU × 4	10	30	"Art/Craft (Photography), Climb, one interpersonal
skill (Charm, Fast Talk, Intimidate, or Persuade),
Other Language, Psychology, Science (Chemistry),
any two other skills as personal or era specialties."	Standard
Pilot	"Professional aviators may be employed by business, for
example the U.S. Mail, or work as pilots for a large or small
commercial passenger line.
In the U.S. there was no national regulation of pilots
until the passing of the Air Commerce Act of 1926, after
which time pilots’ licenses were required. Thus, many in this
period work at carnivals, stunting, selling rides, or offering
local air-taxi services in and out of small airports.
Some pilots actively serve in the military. Many aviators
learned to fly during their service and, as a result, still hold
commissions as officers in the Armed Forces."	EDU × 2 + DEX × 2	20	70	"Electrical Repair, Mechanical Repair, Navigate, Operate
Heavy Machine, Pilot (Aircraft), Science (Astronomy),
any two other skills as personal or era specialties."	Standard
Aviator	"An aviator is a stunt pilot, working at carnivals or offering
daring leisure rides for those willing to pay. Often fame
could be won by competing in organized air races, either
cross-country or on fixed courses. During the twenties, Hollywood
makes fair use of stunt pilots. A few aviators even
find work as test pilots for aircraft manufacturers. Many aviators
learned to fly during the Great War and, as a result, still
hold commissions as officers in the Army, Navy, Marines,
or Coast Guard. Younger pilots have either received military
training during peacetime or learned on their own.
American flying aces of the World War still in the public
limelight include: Eddie Rickenbacker, presently employed
by Chrysler Corporation; Tommy Hitchcock, Jr., now a star
on the polo fields; Reed Landis, son of Baseball Commissioner,
Kenesaw Mountain Landis."	EDU × 4	30	60	"Accounting, Electrical Repair, Listen, Mechanical
Repair, Navigate, Pilot (Aircraft), Spot Hidden, any
one other skill as a personal or era specialty."	Standard
Police Detective	"The police detective may be a manager who coordinates
staff in some important investigation, but rarely has the luxury
of concentrating on a single case. In the U.S., his or her
responsibilities at any one time may number in the dozens or
hundreds of open cases. The detective’s crucial function is to
marshal enough evidence to allow an arrest, in turn leading to
a successful criminal prosecution. Detectives everywhere sort
truth from lies by evidence and reconstruction. The offices
of detective and prosecutor are separate, so that the evidence
may be weighed independently before trial. Though present day detectives may attend police science
classes, take a degree, and undergo special training and civil
service exams, police detectives of every era are grounded in
their experiences as junior officers and ordinary patrolmen."	EDU × 2 + (DEX × 2 or STR × 2)	20	50	"Art/Craft (Acting) or Disguise, Firearms, Law,
Listen, one interpersonal skill (Charm, Fast Talk,
Intimidate, or Persuade), Psychology, Spot Hidden,
any one other skill."	Standard
Uniformed Police Officer	"The uniformed police officer is employed by cities and
towns, by County sheriffs’ departments, and state or regional
police forces. The job may be on foot, behind the wheel of
a patrol car, or sitting at a desk."	EDU × 2 + (DEX × 2 or STR × 2)	9	30	"Fighting (Brawl), Firearms, First Aid, one interpersonal
skill (Charm, Fast Talk, Intimidate, or
Persuade), Law, Psychology, Spot Hidden and one
of the following as a personal specialty: Drive Automobile
or Ride."	Standard
Private Investigator	"The private eye usually acts in non-police situations, gathering
information and evidence for private clients in impending
civil cases, tracking down fleeing spouses or business
partners, or acting as an agent for private defense attorneys
in criminal cases. Like any professional, the private eye separates
his or her personal feelings from the job at hand, and
cheerfully works for the guilty and innocent alike, as long as
the fee is paid.
The private investigator may have been a member of a
police force in the past, using those connections to his or her
advantage in the present; however, this is not always the case.
In most locales, the private investigator must be licensed
and, if later proven to be guilty of illegal activity, the license
may be revoked—effectively ending the detective’s career."	EDU × 2 + (DEX × 2 or STR × 2)	9	30	"Art/Craft (photography), Disguise, Law, Library
Use, one interpersonal skill (Charm, Fast Talk,
Intimidate, or Persuade), Psychology, Spot Hidden
and any one other skill as personal or era specialty
(e.g. Computer Use, Locksmith, Fighting, Firearms)."	Standard
Professor	"Professors are academics employed by colleges and universities.
Larger corporations may also employ such academics
for research and product development. Independent
scholars sometimes help support themselves by teaching
part-time courses.
For the most part, the occupation indicates a Ph.D.—a
rank that can earn tenure at universities around the world.
The professor is qualified to teach and to perform competent
research, and may have a discernible academic reputation in
his or her area of expertise."	EDU × 4	20	70	"Library Use, Other Language, Own Language,
Psychology, any four other skills as academic, era, or
personal specialties."	Standard
Prospector	"Though the days of the California Gold Rush and the Nevada
Comstock Lode are long gone, the independent prospector
is still a feature of the American West. Roaming the
mountains, they endlessly search for the big strike that will
make them rich. In these days, oil may be as good as gold."	EDU × 2 + (DEX × 2 or STR × 2)	0	10	"Climb, First Aid, History, Mechanical Repair,
Navigate, Science (Geology), Spot Hidden, any one
other skill as a personal or era specialty."	Standard
Prostitute	"Depending on circumstance, breeding, and background,
a prostitute may be a high-rolling expensive call girl, male
gigolo, or streetwalker. Often driven by circumstance, many
dream of a way out. A few work completely independently;
however, for most, they are lured and kept in the business by
ruthless pimps whose only concern is cash."	EDU × 2 + APP × 2	5	50	"Art/Craft (any), two interpersonal skills (Charm,
Fast Talk, Intimidate, or Persuade), Dodge, Psychology,
Sleight of hand, Stealth, any one other skill as a
personal or era specialty."	Standard
Psychiatrist	"In the modern era a psychiatrist is a physician specialized in
the diagnosis and treatment of mental disorders. Psychiatrists
are trained in psychopharmacological treatments and
are authorized to prescribe psychiatric medication, as well
as order electroencephalograms, and computed brain-imaging
studies.
At the turn of the twentieth century, psychoanalytic
theories were still relatively new and aimed at attempting to
explain phenomena that until recently had been considered
to be biological in nature. As such, psychiatrists sought
to establish their medical credentials, and differing
perspectives of diagnosing and treating mental disorders
began to be introduced. Until the 1930s, any
physician could request being listed in the Directory
of the American Medical Association
as a specialist in psychiatry."	EDU × 4	30	80	"Other Language, Listen, Medicine,
Persuade, Psychoanalysis, Psychology, Science
(Biology) and (Chemistry)."	Standard
Psychologist/Psychoanalyst	"While commonly known for the fields of
psychotherapy and counseling, this is just one
branch of psychology. Other specialists include
organizational psychologists who work with
businesses and governments, as well as academics conducting
research or teaching psychology.
Clinical psychologists may work with patients, using a
range of therapeutic tools. Note the distinction between a
psychologist and a psychiatrist who is a physician specialist.
In the 1920s, the study of human behavior was a rather
new field and primarily focused on Freudian analysis."	EDU × 4	10	40	"Accounting, Library Use, Listen, Persuade,
Psychoanalysis, Psychology, any two other skills as
academic, era or personal specialties."	Standard
Researcher	"The academic world sponsors a good deal of research,
particularly in the fields of astronomy, physics, and other
theoretical sciences. The private sector employs thousands of
researchers, especially chemists, pharmacists, and engineers.
Oil companies hire many trained geologists. Researchers
spend most of their time indoors, working and writing, but
some go onto become field researchers.
Field researchers are usually highly experienced, independent,
and resourceful, possibly employed by private interests
or undertaking academic research for a university. Oil
companies send geologists into the field to explore potential
petroleum fields, anthropologists study primitive tribes in
forgotten corners of the globe, and archaeologists spend
years of their lives unearthing treasures in deserts and jungles,
bargaining with native workers and local governments."	EDU × 4	9	30	"History, Library Use, one interpersonal skill
(Charm, Fast Talk Intimidate, or Persuade), Other
Language, Spot Hidden, any three fields of study."	Standard
"Sailor, Naval"	"Naval sailors, like their counterparts in the Army, go
through an initial period of basic training. Upon graduation
they are assigned rates and stations. Although many
sailors serve in the traditional roles of Boatswain’s Mate
or Fireman rating (ship’s engine man), the Navy also has
a need for technically trained mechanics, radio operators,
air controllers, etc. The highest enlisted rank is Chief Petty
Officer, which carries with it a prestige respected by even
high-ranking officers. Enlistments are for a fixed number of
years—in the U.S. Navy this is usually four years of active
duty followed by two years of inactive reserve commitment,
Parapsychologists study the supernatural
89
chapter 4: occupations
during which time the sailor can be called to serve in times
of national emergency."	EDU × 2 + (DEX × 2 or STR × 2)	9	30	"Electrical or Mechanical Repair, Fighting, Firearms,
First Aid, Navigate, Pilot (Boat), Survival
(Sea), Swim."	Standard
"Sailor, Commercial"	"Commercial sailors may work aboard a fishing vessel,
charter boat, or haulage tankers, carrying oil or commodities.
In the U.S., charter boats work both coasts, as well as on
the Great Lakes, catering to sport fisherman and vacationers.
By far the greatest number of charter boats are found in
Florida, on both the Gulf and ocean coasts.
During Prohibition, many a charter boat captain found
a lucrative trade in ferrying thirsty customers to the 3-mile
limit, where foreign ships could sell alcohol. Likewise,
smuggling for the bootleggers could pay well; however, the
risks were high."	EDU × 2 + (DEX × 2 or STR × 2)	20	40	"First Aid, Mechanical Repair, Natural World,
Navigate, one interpersonal skill (Charm, Fast Talk,
Intimidate, or Persuade), Pilot (Boat), Spot Hidden,
Swim."	Standard
Salesperson	"An integral part of many businesses, salespeople work to
promote and sell their employer’s goods or services. Most
spend much of their time travelling, meeting, and entertaining
clients (as much as their expenses account will allow).
Some are mainly office-based, working telephones to contact
potential clients, while others travel between communities
to sell their wares door-to-door.
The 1920s is the decade of the entrepreneur and the
traveling salesperson is a part of everyday life. Some work
directly for companies and others on consignment, but
most live and die by commission, using hard sales tactics
to gain the confidence of a potential buyer and not caring
whether their sale is affordable or not. Some are restricted to
certain territories, while others are free to roam and seek out
prospects wherever they might be found. Brushes, vacuum
cleaners, and encyclopedias are only a few of the many items
that be offered door-to-door."	EDU × 2 + APP × 2	9	40	"Accounting, two interpersonal skills (Charm, Fast
Talk, Intimidate, or Persuade), Drive Auto, Listen,
Psychology, Stealth or Sleight of Hand, any one
other skill."	Standard
Scientist	"Natural philosophers who delve reality in the pursuit of
knowledge. Where science is applied to creating useful items,
one might employ an engineer, but if one wishes to expand
the bounds of what is possible, one will require scientists.
Scientists are employed by businesses and universities to
carry out research.
Although specializing in one field of science, any scientist
worth his or her salt will be well-versed in several
branches of science. A scientist will also have a good command
of their own language, having done higher degrees
and probably a Ph.D."	EDU × 4	9	50	"Any three science specialisms, Computer Use or
Library Use, Other Language, Own Language, one
interpersonal skill (Charm, Fast Talk, Intimidate, or
Persuade), Spot Hidden."	Standard
Secretary	"A position that ranges from highly-paid private executive
assistants to those in the typing pool. The work concerns
supporting executives and managers with a range of communication
and organizational skills.
Being at the hub of the business, most secretaries know
more about the inner workings and operations of the business
than their bosses do.
During the 1920s, secretarial work was mainly concerned
with correspondence, such as typing dictated
letters, organizing document filing systems, and arranging
meetings for their bosses. In some cases, the secretary pretty
much ran their manager’s lives, organizing their vacations,
buying presents for their children and wives, and generally
covering their bosses’ back."	EDU × 2 + (DEX × 2 or APP × 2)	9	30	"Accounting, Art/Craft (Typing or Short Hand),
two interpersonal skills (Charm, Fast Talk, Intimidate,
or Persuade), Own Language, Library Use or
Computer Use, Psychology, any one other skill as a
personal or era specialty."	Standard
Shopkeeper	"The owner of a small shop, market stall, or perhaps restaurant.
Usually self-employed, but may be the manager running
the shop on behalf of the owner. Possibly family-run,
with relations also working on the premises, with normally
few, if any, employees.
The 1920s saw many women opening their own hairdressing
and millinery shops."	EDU × 2 + (APP × 2 or DEX × 2)	20	40	"Accounting, two interpersonal skills (Charm, Fast
Talk, Intimidate, or Persuade), Electrical Repair, Listen,
Mechanical Repair, Psychology, Spot Hidden."	Standard
